,_id,category_code,founded_year,geojson,latitude,longitude,name,number_of_employees,total_money_raised,empresas_cerca
1747,5cd45d120c24ecd1b9ca283b,ecommerce,2008,"{'type': 'Point', 'coordinates': [-122.404403, 37.78691]}",37.78691,-122.404403,InnerRewards,9,$1M,55
1974,5cd45d120c24ecd1b9ca291e,ecommerce,2008,"{'type': 'Point', 'coordinates': [-122.404403, 37.78691]}",37.78691,-122.404403,InnerRewards,9,$1M,55
381,5cd45d120c24ecd1b9ca22e5,web,2008,"{'type': 'Point', 'coordinates': [-122.404488, 37.790032]}",37.790032,-122.404488,Unknown Vector,7,$0,55
1080,5cd45d120c24ecd1b9ca25a0,public_relations,2006,"{'type': 'Point', 'coordinates': [-122.3978, 37.78594]}",37.78594,-122.3978,StreamFocus,2,$0,55
1616,5cd45d120c24ecd1b9ca27b8,social,2007,"{'type': 'Point', 'coordinates': [-122.4010019, 37.7924253]}",37.7924253,-122.4010019,FohBoh,4,$750k,54
30,5cd45d120c24ecd1b9ca2186,search,2004,"{'type': 'Point', 'coordinates': [-122.402195, 37.786183]}",37.786183,-122.402195,Yelp,800,$90M,54
1843,5cd45d120c24ecd1b9ca289b,social,2007,"{'type': 'Point', 'coordinates': [-122.4010019, 37.7924253]}",37.7924253,-122.4010019,FohBoh,4,$750k,54
3140,5cd45d120c24ecd1b9ca2dac,enterprise,2008,"{'type': 'Point', 'coordinates': [-122.402667, 37.793473]}",37.793473,-122.402667,Cloudize,3,$0,52
3631,5cd45d120c24ecd1b9ca2f97,advertising,2008,"{'type': 'Point', 'coordinates': [-122.402349, 37.792394]}",37.792394,-122.402349,Decision Maker Media,7,$0,52
2850,5cd45d120c24ecd1b9ca2c8a,hardware,2009,"{'type': 'Point', 'coordinates': [-122.397582, 37.785271]}",37.785271,-122.397582,Meez,21,$10.2M,52
84,5cd45d120c24ecd1b9ca21bb,advertising,2005,"{'type': 'Point', 'coordinates': [-122.402349, 37.792394]}",37.792394,-122.402349,Kiptronic,20,$7.3M,52
2641,5cd45d120c24ecd1b9ca2bb9,consulting,2006,"{'type': 'Point', 'coordinates': [-122.401353, 37.792796]}",37.792796,-122.401353,Commercial Partners,10,$0,51
1871,5cd45d120c24ecd1b9ca28b7,web,2008,"{'type': 'Point', 'coordinates': [-122.403223, 37.794124]}",37.794124,-122.403223,Twonq,3,$800k,50
1644,5cd45d120c24ecd1b9ca27d4,web,2008,"{'type': 'Point', 'coordinates': [-122.403223, 37.794124]}",37.794124,-122.403223,Twonq,3,$800k,50
2947,5cd45d120c24ecd1b9ca2ceb,software,2007,"{'type': 'Point', 'coordinates': [-122.3979712, 37.7934643]}",37.7934643,-122.3979712,CodeGlide,10,$500k,49
218,5cd45d120c24ecd1b9ca2242,ecommerce,2005,"{'type': 'Point', 'coordinates': [-122.40414, 37.792968]}",37.792968,-122.40414,Blurb,150,$21.6M,48
517,5cd45d120c24ecd1b9ca236d,security,2005,"{'type': 'Point', 'coordinates': [-122.395184, 37.789268]}",37.789268,-122.395184,OpenDNS,200,$16.3M,47
454,5cd45d120c24ecd1b9ca232e,ecommerce,2000,"{'type': 'Point', 'coordinates': [-122.3951844, 37.7892685]}",37.7892685,-122.3951844,StubHub,1250,$0,47
957,5cd45d120c24ecd1b9ca2525,mobile,2007,"{'type': 'Point', 'coordinates': [-122.405081, 37.785792]}",37.785792,-122.405081,Transpera,20,$19.5M,46
2953,5cd45d120c24ecd1b9ca2cf1,enterprise,2001,"{'type': 'Point', 'coordinates': [-122.401194, 37.795141]}",37.795141,-122.401194,Visage Mobile,51,$14M,44
1410,5cd45d120c24ecd1b9ca26ea,software,2008,"{'type': 'Point', 'coordinates': [-122.39736, 37.794043]}",37.794043,-122.39736,OpenDrive,25,$0,43
3500,5cd45d120c24ecd1b9ca2f14,mobile,2008,"{'type': 'Point', 'coordinates': [-122.415199, 37.775087]}",37.775087,-122.415199,Bamboudesign,2,$0,41
1853,5cd45d120c24ecd1b9ca28a5,mobile,2007,"{'type': 'Point', 'coordinates': [-122.3943387, 37.7881481]}",37.7881481,-122.3943387,ShopCastTV,5,$0,40
1626,5cd45d120c24ecd1b9ca27c2,mobile,2007,"{'type': 'Point', 'coordinates': [-122.3943387, 37.7881481]}",37.7881481,-122.3943387,ShopCastTV,5,$0,40
231,5cd45d120c24ecd1b9ca224f,education,2005,"{'type': 'Point', 'coordinates': [-122.394265, 37.789498]}",37.789498,-122.394265,Marakana,0,$200k,40
155,5cd45d120c24ecd1b9ca2203,web,2007,"{'type': 'Point', 'coordinates': [-73.986771, 40.753202]}",40.753202,-73.986771,LineUpNewYork,0,$0,40
812,5cd45d120c24ecd1b9ca2494,software,2004,"{'type': 'Point', 'coordinates': [-122.3943387, 37.7881481]}",37.7881481,-122.3943387,JobScore,7,$0,40
2274,5cd45d120c24ecd1b9ca2a4a,public_relations,2007,"{'type': 'Point', 'coordinates': [-73.989505, 40.744201]}",40.744201,-73.989505,ZepFrog Corp,15,$0,39
3867,5cd45d120c24ecd1b9ca3083,analytics,2005,"{'type': 'Point', 'coordinates': [-73.985647, 40.754937]}",40.754937,-73.985647,OpTier,150,$77.5M,39
2297,5cd45d120c24ecd1b9ca2a61,web,2006,"{'type': 'Point', 'coordinates': [-122.394635, 37.782886]}",37.782886,-122.394635,WordNetworks,4,$0,39
2272,5cd45d120c24ecd1b9ca2a48,web,2010,"{'type': 'Point', 'coordinates': [-73.987764, 40.744618]}",40.744618,-73.987764,Yipit,23,$7.55M,38
4,5cd45d120c24ecd1b9ca216c,social,2006,"{'type': 'Point', 'coordinates': [-122.4169244, 37.7768052]}",37.7768052,-122.4169244,Twitter,1300,$1.16B,38
3316,5cd45d120c24ecd1b9ca2e5c,ecommerce,2008,"{'type': 'Point', 'coordinates': [-73.987764, 40.744618]}",40.744618,-73.987764,IntheGlo,5,$30k,38
3664,5cd45d120c24ecd1b9ca2fb8,games_video,2007,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",40.756054,-73.986951,Yoostar,40,$0,37
2450,5cd45d120c24ecd1b9ca2afa,advertising,2007,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",40.756054,-73.986951,PlaceVine,3,$500k,37
2703,5cd45d120c24ecd1b9ca2bf7,games_video,2007,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",40.756054,-73.986951,Fotohoo,2,$0,37
3785,5cd45d120c24ecd1b9ca3031,other,2007,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",40.756054,-73.986951,Primospot,6,$0,37
2799,5cd45d120c24ecd1b9ca2c57,advertising,2008,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",40.756054,-73.986951,Pictela,20,$3.5M,37
509,5cd45d120c24ecd1b9ca2365,design,2008,"{'type': 'Point', 'coordinates': [-122.4005983, 37.7955307]}",37.7955307,-122.4005983,99designs,100,$35M,37
3956,5cd45d120c24ecd1b9ca30dc,web,2008,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",40.756054,-73.986951,Conversition,10,$0,37
1256,5cd45d120c24ecd1b9ca2650,games_video,2007,"{'type': 'Point', 'coordinates': [-73.988543, 40.754762]}",40.754762,-73.988543,My Damn Channel,10,$8.66M,37
3739,5cd45d120c24ecd1b9ca3003,web,2009,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",40.756054,-73.986951,Udorse,3,$500k,37
3190,5cd45d120c24ecd1b9ca2dde,web,2008,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",40.756054,-73.986951,Wee Web,5,$270k,37
219,5cd45d120c24ecd1b9ca2243,cleantech,2006,"{'type': 'Point', 'coordinates': [-122.394354, 37.782809]}",37.782809,-122.394354,The Climate Corporation,150,$109M,37
1638,5cd45d120c24ecd1b9ca27ce,public_relations,2008,"{'type': 'Point', 'coordinates': [-73.9871847, 40.7564318]}",40.7564318,-73.9871847,Thomson Reuters,50000,$0,37
2498,5cd45d120c24ecd1b9ca2b2a,web,2008,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",40.756054,-73.986951,People Capital,10,$2.5M,37
1650,5cd45d120c24ecd1b9ca27da,web,2008,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",40.756054,-73.986951,Papervitamins,2,$0,37
1877,5cd45d120c24ecd1b9ca28bd,web,2008,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",40.756054,-73.986951,Papervitamins,2,$0,37
1343,5cd45d120c24ecd1b9ca26a7,advertising,2008,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",40.756054,-73.986951,Medialets,60,$28.4M,37
3272,5cd45d120c24ecd1b9ca2e30,other,2008,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",40.756054,-73.986951,UniversityJunction,20,$0,37
1865,5cd45d120c24ecd1b9ca28b1,public_relations,2008,"{'type': 'Point', 'coordinates': [-73.9871847, 40.7564318]}",40.7564318,-73.9871847,Thomson Reuters,50000,$0,37
3904,5cd45d120c24ecd1b9ca30a8,web,2008,"{'type': 'Point', 'coordinates': [-73.9900984, 40.7450497]}",40.7450497,-73.9900984,StyleCaster,60,$5M,37
111,5cd45d120c24ecd1b9ca21d7,web,2006,"{'type': 'Point', 'coordinates': [-122.400729, 37.795555]}",37.795555,-122.400729,Weebly,70,$670k,37
112,5cd45d120c24ecd1b9ca21d8,web,2004,"{'type': 'Point', 'coordinates': [-122.394668, 37.790998]}",37.790998,-122.394668,BitTorrent,80,$40.8M,36
1361,5cd45d120c24ecd1b9ca26b9,games_video,2008,"{'type': 'Point', 'coordinates': [-122.396744, 37.780134]}",37.780134,-122.396744,Scavenja,8,$0,36
3530,5cd45d120c24ecd1b9ca2f32,legal,2009,"{'type': 'Point', 'coordinates': [-122.4186, 37.7753]}",37.7753,-122.4186,LendingKarma,1,$0,36
1243,5cd45d120c24ecd1b9ca2643,consulting,2006,"{'type': 'Point', 'coordinates': [-122.4186, 37.7753]}",37.7753,-122.4186,Applied Operations,4,$0,36
82,5cd45d120c24ecd1b9ca21bc,web,2007,"{'type': 'Point', 'coordinates': [-122.417928, 37.779392]}",37.779392,-122.417928,FeVote,1,$0,36
1182,5cd45d120c24ecd1b9ca2606,network_hosting,2007,"{'type': 'Point', 'coordinates': [-73.989622, 40.754901]}",40.754901,-73.989622,MYSTYLEPOST,6,$0,36
801,5cd45d120c24ecd1b9ca2489,other,2007,"{'type': 'Point', 'coordinates': [-73.987949, 40.744402]}",40.744402,-73.987949,BeenVerified,15,$0,36
1670,5cd45d120c24ecd1b9ca27ee,ecommerce,2008,"{'type': 'Point', 'coordinates': [-122.4186, 37.7753]}",37.7753,-122.4186,TopNotchThemes,5,$0,36
3171,5cd45d120c24ecd1b9ca2dcb,consulting,2001,"{'type': 'Point', 'coordinates': [-73.9883596, 40.754142]}",40.754142,-73.9883596,Tech Support 4 NYC,6,$0,36
74,5cd45d120c24ecd1b9ca21b2,social,2004,"{'type': 'Point', 'coordinates': [-122.4186, 37.7753]}",37.7753,-122.4186,Tagged,162,$28.7M,36
691,5cd45d120c24ecd1b9ca241b,web,2005,"{'type': 'Point', 'coordinates': [-73.981237, 40.753918]}",40.753918,-73.981237,Odeo,60,$0,36
1897,5cd45d120c24ecd1b9ca28d1,ecommerce,2008,"{'type': 'Point', 'coordinates': [-122.4186, 37.7753]}",37.7753,-122.4186,TopNotchThemes,5,$0,36
636,5cd45d120c24ecd1b9ca23e4,network_hosting,2006,"{'type': 'Point', 'coordinates': [-73.990675, 40.752143]}",40.752143,-73.990675,Social Sauce,10,$0,35
3760,5cd45d120c24ecd1b9ca3018,web,2009,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Finest Expert,3,$0,35
546,5cd45d120c24ecd1b9ca238a,web,2007,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Clickpass,90,$20k,35
3738,5cd45d120c24ecd1b9ca3002,other,2008,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Talent Basket,3,$0,35
588,5cd45d120c24ecd1b9ca23b4,games_video,2007,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Viddyou,5,$0,35
938,5cd45d120c24ecd1b9ca2512,other,2007,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Venture Hacks,3,$0,35
2622,5cd45d120c24ecd1b9ca2ba6,web,2007,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,StartupAgents,1,$0,35
923,5cd45d120c24ecd1b9ca2503,mobile,2008,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Stitcher,17,$18.7M,35
3685,5cd45d120c24ecd1b9ca2fcd,enterprise,2010,"{'type': 'Point', 'coordinates': [-122.419209, 37.775206]}",37.775206,-122.419209,Fliptop,16,$6.79M,35
3658,5cd45d120c24ecd1b9ca2fb2,analytics,2007,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Topsy Labs,45,$35.2M,35
744,5cd45d120c24ecd1b9ca2450,software,2008,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,GitHub,106,$100M,35
755,5cd45d120c24ecd1b9ca245b,web,2007,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Compfight,5,$0,35
656,5cd45d120c24ecd1b9ca23f8,games_video,2008,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,stickychicken,2,$0,35
139,5cd45d120c24ecd1b9ca21f3,web,2007,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,MicroPlace,15,$0,35
2306,5cd45d120c24ecd1b9ca2a6a,software,2008,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,148Apps,1,$0,35
250,5cd45d120c24ecd1b9ca2262,web,2007,"{'type': 'Point', 'coordinates': [-122.394958, 37.781262]}",37.781262,-122.394958,Dipity,4,$900k,35
1973,5cd45d120c24ecd1b9ca291d,software,2007,"{'type': 'Point', 'coordinates': [-122.4194155, 37.7749295]}",37.7749295,-122.4194155,Scripped,4,$700k,35
52,5cd45d120c24ecd1b9ca219c,news,2006,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,GigaOM,75,$14.3M,35
1873,5cd45d120c24ecd1b9ca28b9,advertising,2008,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,AdRocket,5,$1M,35
1746,5cd45d120c24ecd1b9ca283a,software,2007,"{'type': 'Point', 'coordinates': [-122.4194155, 37.7749295]}",37.7749295,-122.4194155,Scripped,4,$700k,35
83,5cd45d120c24ecd1b9ca21ba,social,2006,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Grockit,25,$44.7M,35
2054,5cd45d120c24ecd1b9ca296e,advertising,2003,"{'type': 'Point', 'coordinates': [-73.987794, 40.740512]}",40.740512,-73.987794,Voice123,27,$0,35
1646,5cd45d120c24ecd1b9ca27d6,advertising,2008,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,AdRocket,5,$1M,35
343,5cd45d120c24ecd1b9ca22bf,enterprise,2007,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Heroku,80,$13M,35
1532,5cd45d120c24ecd1b9ca2764,consulting,2008,"{'type': 'Point', 'coordinates': [-122.4194155, 37.7749295]}",37.7749295,-122.4194155,Same Page Capital,1,$0,35
3122,5cd45d120c24ecd1b9ca2d9a,public_relations,2009,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Startup Revival,1,$0,35
414,5cd45d120c24ecd1b9ca2306,web,2001,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Three Rings,30,$7M,35
2279,5cd45d120c24ecd1b9ca2a4f,web,2008,"{'type': 'Point', 'coordinates': [-122.394958, 37.781262]}",37.781262,-122.394958,Virgance,15,$750k,35
55,5cd45d120c24ecd1b9ca219f,web,2007,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Seesmic,13,$16M,35
2287,5cd45d120c24ecd1b9ca2a57,enterprise,2007,"{'type': 'Point', 'coordinates': [-73.990853, 40.743165]}",40.743165,-73.990853,Aditall,15,$0,35
1282,5cd45d120c24ecd1b9ca266a,web,2008,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Posterous,9,$10.1M,35
813,5cd45d120c24ecd1b9ca2495,advertising,2006,"{'type': 'Point', 'coordinates': [-122.418129, 37.771208]}",37.771208,-122.418129,Triggit,43,$18.5M,34
2861,5cd45d120c24ecd1b9ca2c95,software,2007,"{'type': 'Point', 'coordinates': [-73.987871, 40.752539]}",40.752539,-73.987871,PEX Card,11,$5.7M,33
3164,5cd45d120c24ecd1b9ca2dc4,web,2007,"{'type': 'Point', 'coordinates': [-122.403755, 37.796216]}",37.796216,-122.403755,Vanno,9,$0,33
3626,5cd45d120c24ecd1b9ca2f92,games_video,2006,"{'type': 'Point', 'coordinates': [-73.98618, 40.743877]}",40.743877,-73.98618,Saavn,25,$6M,33
3627,5cd45d120c24ecd1b9ca2f93,games_video,2004,"{'type': 'Point', 'coordinates': [-73.98618, 40.743877]}",40.743877,-73.98618,[212]Media,75,$0,33
478,5cd45d120c24ecd1b9ca2346,web,2006,"{'type': 'Point', 'coordinates': [-122.393323, 37.783151]}",37.783151,-122.393323,The Industry Standard,4,$0,32
464,5cd45d120c24ecd1b9ca2338,games_video,2007,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",40.757929,-73.985506,Camlink,4,$0,32
88,5cd45d120c24ecd1b9ca21c0,photo_video,2003,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",40.757929,-73.985506,Clipmarks,10,$0,32
10,5cd45d120c24ecd1b9ca2172,advertising,2002,"{'type': 'Point', 'coordinates': [-122.393041, 37.779558]}",37.779558,-122.393041,Technorati,35,$32.1M,32
9,5cd45d120c24ecd1b9ca2171,search,2006,"{'type': 'Point', 'coordinates': [-122.395289, 37.778613]}",37.778613,-122.395289,Powerset,60,$22.5M,32
2087,5cd45d120c24ecd1b9ca298f,music,2008,"{'type': 'Point', 'coordinates': [-122.391236, 37.779624]}",37.779624,-122.391236,Smule,55,$25.5M,32
700,5cd45d120c24ecd1b9ca2424,,2005,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",40.757929,-73.985506,1938 Media,4,$0,32
6,5cd45d120c24ecd1b9ca216e,social,2007,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",40.757929,-73.985506,MeetMoi,15,$5.58M,32
690,5cd45d120c24ecd1b9ca241a,software,2002,"{'type': 'Point', 'coordinates': [-122.395289, 37.778613]}",37.778613,-122.395289,GuardianEdge Technologies,85,$19.5M,32
195,5cd45d120c24ecd1b9ca222b,software,2005,"{'type': 'Point', 'coordinates': [-122.393041, 37.779558]}",37.779558,-122.393041,GroupSwim,9,$0,32
2629,5cd45d120c24ecd1b9ca2bad,software,2007,"{'type': 'Point', 'coordinates': [-122.4022856, 37.7965781]}",37.7965781,-122.4022856,Clikthrough,5,$2M,32
