,city,country_code,latitude,longitude,name,geopoint,geoquery,category_code,founded_year,founded_year_bins,number_of_employees,number_of_employees_bins,segment,type
2770,Morrisville,USA,35.820365,-78.821516,clearTXT,"[-78.821516, 35.820365]","{'type': 'Point', 'coordinates': [-78.821516, 35.820365]}",mobile,2003,q1,4,q2,tech,small company
2771,Barcelona,ESP,41.41259,2.143797,Vertical Social Networks,"[2.143797, 41.41259]","{'type': 'Point', 'coordinates': [2.143797, 41.41259]}",enterprise,2008,q3,3,q1,others,small company
2772,Redwood City,USA,37.524729,-122.258037,Care2,"[-122.258037, 37.524729]","{'type': 'Point', 'coordinates': [-122.258037, 37.524729]}",web,1998,q1,55,q4,tech,mid company
2773,Washington,USA,38.903854,-77.034867,Care2,"[-77.034867, 38.903854]","{'type': 'Point', 'coordinates': [-77.034867, 38.903854]}",web,1998,q1,55,q4,tech,mid company
2774,Bethesda,USA,38.9897861,-77.0989247,Compete-At,"[-77.0989247, 38.9897861]","{'type': 'Point', 'coordinates': [-77.0989247, 38.9897861]}",games_video,2007,q2,12,q3,gaming,small company
2775,Colorado Springs,USA,38.927596,-104.830775,Compete-At,"[-104.830775, 38.927596]","{'type': 'Point', 'coordinates': [-104.830775, 38.927596]}",games_video,2007,q2,12,q3,gaming,small company
2776,San Francisco,USA,37.782886,-122.394635,WordNetworks,"[-122.394635, 37.782886]","{'type': 'Point', 'coordinates': [-122.394635, 37.782886]}",web,2006,q2,4,q2,tech,small company
2777,Cape Coral,USA,26.600742,-81.991232,BB Direct,"[-81.991232, 26.600742]","{'type': 'Point', 'coordinates': [-81.991232, 26.600742]}",consulting,2002,q1,12,q3,others,small company
2778,Bellevue,USA,47.5827406,-122.1353561,Xeround,"[-122.1353561, 47.5827406]","{'type': 'Point', 'coordinates': [-122.1353561, 47.5827406]}",analytics,2005,q2,40,q4,others,mid company
2779,Atlanta,USA,45.538651,-75.815542,OrcaTec,"[-75.815542, 45.538651]","{'type': 'Point', 'coordinates': [-75.815542, 45.538651]}",software,2006,q2,20,q3,tech,small company
2780,Austin,USA,30.211761,-97.767524,ContentRealtime,"[-97.767524, 30.211761]","{'type': 'Point', 'coordinates': [-97.767524, 30.211761]}",other,2007,q2,4,q2,others,small company
2781,New York,USA,40.705439,-74.012822,Elika Associates,"[-74.012822, 40.705439]","{'type': 'Point', 'coordinates': [-74.012822, 40.705439]}",other,2007,q2,5,q2,others,small company
2782,Lormont,FRA,44.8804077,-0.5264469,Webwag,"[-0.5264469, 44.8804077]","{'type': 'Point', 'coordinates': [-0.5264469, 44.8804077]}",mobile,2006,q2,10,q3,tech,small company
2783,Chennai,IND,13.0600605,80.174135,Gtm infotech,"[80.174135, 13.0600605]","{'type': 'Point', 'coordinates': [80.174135, 13.0600605]}",software,2006,q2,10,q3,tech,small company
2784,San Francisco,USA,37.775196,-122.419204,148Apps,"[-122.419204, 37.775196]","{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",software,2008,q3,1,,tech,small company
2785,Denver,USA,39.766292,-104.900722,Mondo Food,"[-104.900722, 39.766292]","{'type': 'Point', 'coordinates': [-104.900722, 39.766292]}",ecommerce,2008,q3,2,q1,others,small company
2786,London,GBR,51.5246619,-0.0830772,Solid State Group,"[-0.0830772, 51.5246619]","{'type': 'Point', 'coordinates': [-0.0830772, 51.5246619]}",web,2002,q1,18,q3,tech,small company
2787,Newark,USA,40.742416,-74.182118,BookSwim,"[-74.182118, 40.742416]","{'type': 'Point', 'coordinates': [-74.182118, 40.742416]}",web,2006,q2,10,q3,tech,small company
2788,Piscataway,USA,40.548905,-74.454873,Celebros,"[-74.454873, 40.548905]","{'type': 'Point', 'coordinates': [-74.454873, 40.548905]}",search,2000,q1,50,q4,tech,mid company
2789,Madison,USA,43.068006,-89.39256,StudyBlue,"[-89.39256, 43.068006]","{'type': 'Point', 'coordinates': [-89.39256, 43.068006]}",education,2009,q4,18,q3,others,startup
2790,Chicago,USA,41.907542,-87.66299,Plugola,"[-87.66299, 41.907542]","{'type': 'Point', 'coordinates': [-87.66299, 41.907542]}",games_video,2007,q2,2,q1,gaming,small company
2791,"Solon,",USA,41.38778,-81.463538,Jaincotech,"[-81.463538, 41.38778]","{'type': 'Point', 'coordinates': [-81.463538, 41.38778]}",other,2004,q1,300,q4,others,big company
2792,United Kingdom.,GBR,51.5350682,-0.1416596,Jaincotech,"[-0.1416596, 51.5350682]","{'type': 'Point', 'coordinates': [-0.1416596, 51.5350682]}",other,2004,q1,300,q4,others,big company
2793,Lyon,FRA,45.7924745,4.8207353,CEGID,"[4.8207353, 45.7924745]","{'type': 'Point', 'coordinates': [4.8207353, 45.7924745]}",software,1983,q1,2000,q4,tech,big company
2794,Franconville,FRA,48.995807,2.2335404,Zone-ViP Network,"[2.2335404, 48.995807]","{'type': 'Point', 'coordinates': [2.2335404, 48.995807]}",web,2005,q2,5,q2,tech,small company
2795,izmir,TUR,38.462306,27.207361,Ealbeni,"[27.207361, 38.462306]","{'type': 'Point', 'coordinates': [27.207361, 38.462306]}",ecommerce,2005,q2,10,q3,others,small company
2796,San Francisco,USA,37.781386,-122.421406,TubeSpree,"[-122.421406, 37.781386]","{'type': 'Point', 'coordinates': [-122.421406, 37.781386]}",games_video,2007,q2,11,q3,gaming,small company
2797,Los Angeles,USA,34.052187,-118.243425,PlayerAuctions,"[-118.243425, 34.052187]","{'type': 'Point', 'coordinates': [-118.243425, 34.052187]}",games_video,1999,q1,30,q4,gaming,mid company
2798,San Francisco,USA,41.7894201,-87.5962319,CaptainU,"[-87.5962319, 41.7894201]","{'type': 'Point', 'coordinates': [-87.5962319, 41.7894201]}",software,2007,q2,20,q3,tech,small company
2799,Soquel,USA,37.0391044,-121.958687,ForGrabs,"[-121.958687, 37.0391044]","{'type': 'Point', 'coordinates': [-121.958687, 37.0391044]}",web,2008,q3,5,q2,tech,small company
2800,Santa Clara,USA,37.40688,-121.980353,CopaCast,"[-121.980353, 37.40688]","{'type': 'Point', 'coordinates': [-121.980353, 37.40688]}",other,2006,q2,15,q3,others,small company
2801,Los Angeles,USA,34.025386,-118.401729,A Unique Presentation,"[-118.401729, 34.025386]","{'type': 'Point', 'coordinates': [-118.401729, 34.025386]}",ecommerce,1980,q1,12,q3,others,small company
2802,Zaventem,BEL,50.8827252,4.4547855,RAM Mobile Data,"[4.4547855, 50.8827252]","{'type': 'Point', 'coordinates': [4.4547855, 50.8827252]}",other,1993,q1,80,q4,others,mid company
2803,Bangalore,IND,12.9561278,77.5922642,Aghreni Technologies,"[77.5922642, 12.9561278]","{'type': 'Point', 'coordinates': [77.5922642, 12.9561278]}",software,2008,q3,15,q3,tech,small company
2804,New York,USA,40.744549,-73.988071,Aghreni Technologies,"[-73.988071, 40.744549]","{'type': 'Point', 'coordinates': [-73.988071, 40.744549]}",software,2008,q3,15,q3,tech,small company
2805,Toronto,CAN,43.6453258,-79.3956689,Daily Challenge,"[-79.3956689, 43.6453258]","{'type': 'Point', 'coordinates': [-79.3956689, 43.6453258]}",network_hosting,2008,q3,7,q2,others,small company
2806,Waltham,USA,42.3988781,-71.2537056,InnoCentive,"[-71.2537056, 42.3988781]","{'type': 'Point', 'coordinates': [-71.2537056, 42.3988781]}",enterprise,2001,q1,55,q4,others,mid company
2807,London,GBR,51.5183541,-0.1581968,InnoCentive,"[-0.1581968, 51.5183541]","{'type': 'Point', 'coordinates': [-0.1581968, 51.5183541]}",enterprise,2001,q1,55,q4,others,mid company
2808,Vancouver,CAN,49.263588,-123.138565,DreamBank,"[-123.138565, 49.263588]","{'type': 'Point', 'coordinates': [-123.138565, 49.263588]}",web,2008,q3,10,q3,tech,small company
2809,Darlinghurst,AUS,-33.8719926,151.1936039,Allure Media,"[151.1936039, -33.8719926]","{'type': 'Point', 'coordinates': [151.1936039, -33.8719926]}",web,2008,q3,15,q3,tech,small company
2810,Irvine,USA,33.65042,-117.747055,Automatic,"[-117.747055, 33.65042]","{'type': 'Point', 'coordinates': [-117.747055, 33.65042]}",advertising,2008,q3,65,q4,others,mid company
2811,los angeles,USA,34.052187,-118.243425,Tenantplus,"[-118.243425, 34.052187]","{'type': 'Point', 'coordinates': [-118.243425, 34.052187]}",search,2000,q1,3,q1,tech,small company
2812,Moorpark,USA,34.267061,-118.864513,Zubican,"[-118.864513, 34.267061]","{'type': 'Point', 'coordinates': [-118.864513, 34.267061]}",search,2006,q2,12,q3,tech,small company
2813,Atlanta,USA,33.961646,-84.368975,ZOOZ Mobile,"[-84.368975, 33.961646]","{'type': 'Point', 'coordinates': [-84.368975, 33.961646]}",games_video,2008,q3,5,q2,gaming,small company
2814,Potsdam,USA,44.6686534,-74.9822149,SpiceCSM,"[-74.9822149, 44.6686534]","{'type': 'Point', 'coordinates': [-74.9822149, 44.6686534]}",enterprise,2008,q3,6,q2,others,small company
2815,Vancouver,USA,45.6667514,-122.4721542,AutoInq,"[-122.4721542, 45.6667514]","{'type': 'Point', 'coordinates': [-122.4721542, 45.6667514]}",web,2006,q2,3,q1,tech,small company
2816,Birmingham,GBR,52.3984972,-1.9264665,Invictus Technology,"[-1.9264665, 52.3984972]","{'type': 'Point', 'coordinates': [-1.9264665, 52.3984972]}",consulting,2005,q2,5,q2,others,small company
2817,Boiling Springs,USA,40.10971,-77.132182,I-Cubed Web Design,"[-77.132182, 40.10971]","{'type': 'Point', 'coordinates': [-77.132182, 40.10971]}",web,1995,q1,4,q2,tech,small company
2818,Copenhagen V,DNK,55.6739617,12.5605372,Trustpilot,"[12.5605372, 55.6739617]","{'type': 'Point', 'coordinates': [12.5605372, 55.6739617]}",web,2007,q2,100,q4,tech,mid company
2819,Paris,FRA,48.8696076,2.3763621,Pilot Systems,"[2.3763621, 48.8696076]","{'type': 'Point', 'coordinates': [2.3763621, 48.8696076]}",software,2000,q1,15,q3,tech,small company
2820,Marlborough,USA,42.3389044,-71.590103,Collabor,"[-71.590103, 42.3389044]","{'type': 'Point', 'coordinates': [-71.590103, 42.3389044]}",software,2005,q2,60,q4,tech,mid company
2821,Merelbeke,BEL,51.0075781,3.7562868,Avocom,"[3.7562868, 51.0075781]","{'type': 'Point', 'coordinates': [3.7562868, 51.0075781]}",consulting,2007,q2,2,q1,others,small company
2822,Atlanta,USA,33.754487,-84.389663,fanBunker,"[-84.389663, 33.754487]","{'type': 'Point', 'coordinates': [-84.389663, 33.754487]}",network_hosting,2007,q2,2,q1,others,small company
2823,Baldwin,USA,40.661561,-73.613193,Light Fantastic Studios,"[-73.613193, 40.661561]","{'type': 'Point', 'coordinates': [-73.613193, 40.661561]}",consulting,1997,q1,4,q2,others,small company
2824,El Dorado Hills,USA,38.67687,-121.038099,ExtendMD,"[-121.038099, 38.67687]","{'type': 'Point', 'coordinates': [-121.038099, 38.67687]}",public_relations,2007,q2,3,q1,others,small company
2825,Los Angeles,USA,34.070146,-118.365526,MovieFlix,"[-118.365526, 34.070146]","{'type': 'Point', 'coordinates': [-118.365526, 34.070146]}",games_video,1998,q1,2,q1,gaming,small company
2826,Addison,USA,32.9812471,-96.8303112,Techonweb,"[-96.8303112, 32.9812471]","{'type': 'Point', 'coordinates': [-96.8303112, 32.9812471]}",other,1999,q1,10,q3,others,small company
2827,Folsom,USA,38.6456907,-121.1268303,SynapSense,"[-121.1268303, 38.6456907]","{'type': 'Point', 'coordinates': [-121.1268303, 38.6456907]}",network_hosting,2006,q2,20,q3,others,small company
2828,"Victoria, BC",CAN,48.429856,-123.3558507,Backstage Technologies,"[-123.3558507, 48.429856]","{'type': 'Point', 'coordinates': [-123.3558507, 48.429856]}",games_video,1996,q1,17,q3,gaming,small company
2829,Hopkinton,USA,42.6274692,-71.3629705,Beehive Media,"[-71.3629705, 42.6274692]","{'type': 'Point', 'coordinates': [-71.3629705, 42.6274692]}",software,1994,q1,8,q2,tech,small company
2830,Goteborg,SWE,57.7209005,12.0198938,Testvinnare i Sverige,"[12.0198938, 57.7209005]","{'type': 'Point', 'coordinates': [12.0198938, 57.7209005]}",ecommerce,2004,q1,2,q1,others,small company
2831,Sunnyvale,USA,37.386774,-121.987661,Infoaxe,"[-121.987661, 37.386774]","{'type': 'Point', 'coordinates': [-121.987661, 37.386774]}",search,2007,q2,5,q2,tech,small company
2832,Brussels,BEL,50.7963208,4.401195,Commentag,"[4.401195, 50.7963208]","{'type': 'Point', 'coordinates': [4.401195, 50.7963208]}",web,2008,q3,3,q1,tech,small company
2833,Waltham,USA,42.357119,-71.1858605,PatientKeeper,"[-71.1858605, 42.357119]","{'type': 'Point', 'coordinates': [-71.1858605, 42.357119]}",software,1996,q1,150,q4,tech,mid company
2834,Spring Hill,USA,28.4370407,-82.490137,Dorman Media,"[-82.490137, 28.4370407]","{'type': 'Point', 'coordinates': [-82.490137, 28.4370407]}",web,2008,q3,1,,tech,small company
2835,Pune,IND,18.5584318,73.8213213,focusQA,"[73.8213213, 18.5584318]","{'type': 'Point', 'coordinates': [73.8213213, 18.5584318]}",consulting,2006,q2,25,q3,others,small company
2836,Seattle,USA,47.6024156,-122.3326145,Decho,"[-122.3326145, 47.6024156]","{'type': 'Point', 'coordinates': [-122.3326145, 47.6024156]}",web,2008,q3,150,q4,tech,mid company
2837,Bremen,DEU,53.0785928,8.8088823,Enough Software,"[8.8088823, 53.0785928]","{'type': 'Point', 'coordinates': [8.8088823, 53.0785928]}",software,2005,q2,20,q3,tech,small company
2838,Guelph,CAN,43.5468152,-80.2499858,Bootcamp Media,"[-80.2499858, 43.5468152]","{'type': 'Point', 'coordinates': [-80.2499858, 43.5468152]}",advertising,2007,q2,10,q3,others,small company
2839,Dubai,ARE,25.271139,55.307485,Meirc Training and Consulting,"[55.307485, 25.271139]","{'type': 'Point', 'coordinates': [55.307485, 25.271139]}",consulting,1958,q1,100,q4,others,mid company
2840,Danvers,USA,42.556598,-70.944951,VaultLogix,"[-70.944951, 42.556598]","{'type': 'Point', 'coordinates': [-70.944951, 42.556598]}",enterprise,1996,q1,35,q4,others,mid company
2841,Lexington,USA,42.430844,-71.237976,LuckyCal,"[-71.237976, 42.430844]","{'type': 'Point', 'coordinates': [-71.237976, 42.430844]}",web,2007,q2,4,q2,tech,small company
2842,Duluth,USA,34.070164,-84.058708,Clearleap,"[-84.058708, 34.070164]","{'type': 'Point', 'coordinates': [-84.058708, 34.070164]}",software,2007,q2,75,q4,tech,mid company
2843,Kolkata,IND,22.5463155,88.3539981,32bytes,"[88.3539981, 22.5463155]","{'type': 'Point', 'coordinates': [88.3539981, 22.5463155]}",advertising,2001,q1,8,q2,others,small company
2844,New Haven,USA,41.3134377,-72.9216637,SEOMatrix,"[-72.9216637, 41.3134377]","{'type': 'Point', 'coordinates': [-72.9216637, 41.3134377]}",advertising,2001,q1,15,q3,others,small company
2845,Grand Rapids,USA,42.9608776,-85.6734906,Ascribe,"[-85.6734906, 42.9608776]","{'type': 'Point', 'coordinates': [-85.6734906, 42.9608776]}",software,2008,q3,9,q3,tech,small company
2846,Kanata,CAN,45.3485325,-75.9204125,Cyphercor,"[-75.9204125, 45.3485325]","{'type': 'Point', 'coordinates': [-75.9204125, 45.3485325]}",security,2011,q4,3,q1,others,startup
2847,Thalgau,AUT,47.86582,13.261829,Emsi Software,"[13.261829, 47.86582]","{'type': 'Point', 'coordinates': [13.261829, 47.86582]}",software,2003,q1,15,q3,tech,small company
2848,"Bangalore, Karnataka",IND,12.9737322,77.5384384,Innoz,"[77.5384384, 12.9737322]","{'type': 'Point', 'coordinates': [77.5384384, 12.9737322]}",mobile,2008,q3,5,q2,tech,small company
2849,McLean,USA,38.872668,-77.367981,Rollstream,"[-77.367981, 38.872668]","{'type': 'Point', 'coordinates': [-77.367981, 38.872668]}",software,2005,q2,25,q3,tech,small company
2850,Cambridge,USA,42.393551,-71.128231,galaxyadvisors,"[-71.128231, 42.393551]","{'type': 'Point', 'coordinates': [-71.128231, 42.393551]}",network_hosting,2007,q2,7,q2,others,small company
2851,Aarau,CHE,47.394253,8.0493789,galaxyadvisors,"[8.0493789, 47.394253]","{'type': 'Point', 'coordinates': [8.0493789, 47.394253]}",network_hosting,2007,q2,7,q2,others,small company
2852,Sacramento,USA,38.517538,-121.481826,Balsamiq,"[-121.481826, 38.517538]","{'type': 'Point', 'coordinates': [-121.481826, 38.517538]}",web,2008,q3,9,q3,tech,small company
2853,Lehi,USA,40.4273613,-111.8967224,Kynetx,"[-111.8967224, 40.4273613]","{'type': 'Point', 'coordinates': [-111.8967224, 40.4273613]}",software,2007,q2,13,q3,tech,small company
2854,Paris,FRA,48.8687217,2.3593849,VideoMark,"[2.3593849, 48.8687217]","{'type': 'Point', 'coordinates': [2.3593849, 48.8687217]}",web,2007,q2,9,q3,tech,small company
2855,Hasselt,BEL,50.9215635,5.3538038,anaXis,"[5.3538038, 50.9215635]","{'type': 'Point', 'coordinates': [5.3538038, 50.9215635]}",ecommerce,2000,q1,50,q4,others,mid company
2856,London,GBR,51.5124201,-0.137494,Mobyko,"[-0.137494, 51.5124201]","{'type': 'Point', 'coordinates': [-0.137494, 51.5124201]}",mobile,2006,q2,16,q3,tech,small company
2857,Miami,USA,25.769174,-80.331681,Aligned Global,"[-80.331681, 25.769174]","{'type': 'Point', 'coordinates': [-80.331681, 25.769174]}",software,2008,q3,15,q3,tech,small company
2858,San Mateo,USA,37.552806,-122.2916021,DeNA Global,"[-122.2916021, 37.552806]","{'type': 'Point', 'coordinates': [-122.2916021, 37.552806]}",mobile,1999,q1,7,q2,tech,small company
2859,Barcelona,ESP,41.3762002,2.1897317,Tractis,"[2.1897317, 41.3762002]","{'type': 'Point', 'coordinates': [2.1897317, 41.3762002]}",web,2005,q2,4,q2,tech,small company
2860,Bournemouth,GBR,50.7229432,-1.8813105,myJournal,"[-1.8813105, 50.7229432]","{'type': 'Point', 'coordinates': [-1.8813105, 50.7229432]}",network_hosting,2008,q3,8,q2,others,small company
2861,Austin,USA,30.4156188,-97.8014482,Saltlick Labs,"[-97.8014482, 30.4156188]","{'type': 'Point', 'coordinates': [-97.8014482, 30.4156188]}",mobile,2008,q3,3,q1,tech,small company
2862,Sydney,AUS,-33.867139,151.207114,Saltlick Labs,"[151.207114, -33.867139]","{'type': 'Point', 'coordinates': [151.207114, -33.867139]}",mobile,2008,q3,3,q1,tech,small company
2863,Los Angeles,USA,34.052187,-118.243425,Saltlick Labs,"[-118.243425, 34.052187]","{'type': 'Point', 'coordinates': [-118.243425, 34.052187]}",mobile,2008,q3,3,q1,tech,small company
2864,Emeryville,USA,37.8454819,-122.296342,Sendmail,"[-122.296342, 37.8454819]","{'type': 'Point', 'coordinates': [-122.296342, 37.8454819]}",software,1998,q1,100,q4,tech,mid company
2865,Mountain View,USA,37.400465,-122.073003,Fuzzyshot,"[-122.073003, 37.400465]","{'type': 'Point', 'coordinates': [-122.073003, 37.400465]}",mobile,2008,q3,3,q1,tech,small company
2866,Manchester,GBR,53.4837067,-2.2439492,Clowdy,"[-2.2439492, 53.4837067]","{'type': 'Point', 'coordinates': [-2.2439492, 53.4837067]}",web,2013,q4,11,q3,tech,startup
2867,Warsaw,POL,52.1332973,21.0709375,Activeweb,"[21.0709375, 52.1332973]","{'type': 'Point', 'coordinates': [21.0709375, 52.1332973]}",software,2002,q1,500,q4,tech,big company
2868,Guildford,GBR,51.2402584,-0.6126472,Socialwrks,"[-0.6126472, 51.2402584]","{'type': 'Point', 'coordinates': [-0.6126472, 51.2402584]}",software,2005,q2,12,q3,tech,small company
2869,Phoenix,USA,33.4962205,-111.9641728,Datachamps,"[-111.9641728, 33.4962205]","{'type': 'Point', 'coordinates': [-111.9641728, 33.4962205]}",advertising,2004,q1,6,q2,others,small company
2870,Ottawa,CAN,45.3479463,-75.9200142,ascentify,"[-75.9200142, 45.3479463]","{'type': 'Point', 'coordinates': [-75.9200142, 45.3479463]}",software,2004,q1,20,q3,tech,small company
2871,London,GBR,51.4598249,-0.1364995,SLevolution,"[-0.1364995, 51.4598249]","{'type': 'Point', 'coordinates': [-0.1364995, 51.4598249]}",software,2007,q2,4,q2,tech,small company
2872,Oulu,FIN,65.0566012,25.4421286,Capricode,"[25.4421286, 65.0566012]","{'type': 'Point', 'coordinates': [25.4421286, 65.0566012]}",software,2002,q1,40,q4,tech,mid company
2873,Boulder,USA,40.010492,-105.276843,DealStop,"[-105.276843, 40.010492]","{'type': 'Point', 'coordinates': [-105.276843, 40.010492]}",web,2005,q2,1,,tech,small company
2874,Boulder,USA,40.0153,-105.2702,DealStop,"[-105.2702, 40.0153]","{'type': 'Point', 'coordinates': [-105.2702, 40.0153]}",web,2005,q2,1,,tech,small company
2875,San Francisco,USA,37.7898499,-122.4006831,Twilio,"[-122.4006831, 37.7898499]","{'type': 'Point', 'coordinates': [-122.4006831, 37.7898499]}",enterprise,2007,q2,100,q4,others,mid company
2876,Brussels,BEL,50.7955117,4.4062792,Tunz,"[4.4062792, 50.7955117]","{'type': 'Point', 'coordinates': [4.4062792, 50.7955117]}",mobile,2007,q2,7,q2,tech,small company
