Número de casos por países,
País,Número de casos
USA,2116
AUSTRALIA,1279
SOUTH AFRICA,565
PAPUA NEW GUINEA,133
NEW ZEALAND,125
BRAZIL,102
BAHAMAS,98
MEXICO,81
ITALY,71
FIJI,62
PHILIPPINES,59
REUNION,57
NEW CALEDONIA,51
MOZAMBIQUE,44
CUBA,42
SPAIN,40
INDIA,37
EGYPT,36
CROATIA,34
PANAMA,32
JAPAN,32
IRAN,29
SOLOMON ISLANDS,29
GREECE,25
HONG KONG,24
JAMAICA,23
FRENCH POLYNESIA,22
INDONESIA,20
ENGLAND,19
PACIFIC OCEAN,17
BERMUDA,16
ATLANTIC OCEAN,16
TONGA,15
VIETNAM,14
VANUATU,14
FRANCE,13
SRI LANKA,13
MARSHALL ISLANDS,13
COSTA RICA,12
IRAQ,12
SOUTH ATLANTIC OCEAN,12
TURKEY,12
SENEGAL,11
VENEZUELA,11
KENYA,10
UNITED KINGDOM,10
CANADA,10
NEW GUINEA,10
TAIWAN,9
COLUMBIA,9
CARIBBEAN SEA,8
SIERRA LEONE,8
ECUADOR,8
SOUTH KOREA,8
SCOTLAND,8
CHILE,8
TANZANIA,8
ISRAEL,7
DOMINICAN REPUBLIC,7
MAURITIUS,7
SAMOA,7
SEYCHELLES,7
NORTH PACIFIC OCEAN,7
INDIAN OCEAN,7
MADAGASCAR,7
YEMEN ,7
NEW BRITAIN,6
SOMALIA,6
THAILAND,6
CHINA,6
NICARAGUA,6
KIRIBATI,6
OKINAWA,6
SINGAPORE,6
AZORES,5
BARBADOS,5
MID ATLANTIC OCEAN,5
TURKS & CAICOS,5
SAUDI ARABIA,5
LIBYA,5
MALTA,5
PALAU,5
EL SALVADOR,4
SUDAN,4
PERSIAN GULF,4
MALAYSIA,4
GUAM,4
RUSSIA,4
GRENADA,4
BURMA,4
NORTH ATLANTIC OCEAN,4
NIGERIA,4
LIBERIA,3
LEBANON,3
 TONGA,3
Fiji,3
TUNISIA,3
HAITI,3
BELIZE,3
PORTUGAL,3
HONDURAS,3
TRINIDAD & TOBAGO,3
URUGUAY,3
MICRONESIA,3
GUINEA,3
AMERICAN SAMOA,3
MONTENEGRO,3
CAPE VERDE,3
CAYMAN ISLANDS,2
JOHNSTON ISLAND,2
CENTRAL PACIFIC,2
PACIFIC OCEAN ,2
MEDITERRANEAN SEA,2
YEMEN,2
SOUTH PACIFIC OCEAN,2
UNITED ARAB EMIRATES (UAE),2
NORWAY,2
EGYPT ,2
NAMIBIA,2
CRETE,2
SOUTHWEST PACIFIC OCEAN,2
RED SEA,1
DJIBOUTI,1
ARUBA,1
NICARAGUA ,1
BRITISH NEW GUINEA,1
ANGOLA,1
BAHREIN,1
RED SEA / INDIAN OCEAN,1
RED SEA?,1
SOLOMON ISLANDS / VANUATU,1
UNITED ARAB EMIRATES,1
NORTHERN MARIANA ISLANDS,1
MEXICO ,1
GEORGIA,1
PALESTINIAN TERRITORIES,1
JAVA,1
IRELAND,1
GABON,1
SUDAN?,1
MAYOTTE,1
MONACO,1
OCEAN,1
NORTH SEA,1
GHANA,1
GUATEMALA,1
FALKLAND ISLANDS,1
ADMIRALTY ISLANDS,1
WESTERN SAMOA,1
BANGLADESH,1
GULF OF ADEN,1
NEVIS,1
ALGERIA,1
ASIA?,1
 PHILIPPINES,1
COOK ISLANDS,1
ICELAND,1
CURACAO,1
KUWAIT,1
PARAGUAY,1
EQUATORIAL GUINEA / CAMEROON,1
PUERTO RICO,1
ARGENTINA,1
IRAN / IRAQ,1
CEYLON (SRI LANKA),1
THE BALKANS,1
MID-PACIFC OCEAN,1
FEDERATED STATES OF MICRONESIA,1
MALDIVE ISLANDS,1
BAY OF BENGAL,1
GRAND CAYMAN,1
TASMAN SEA,1
SLOVENIA,1
ANTIGUA,1
TUVALU,1
NORTH ATLANTIC OCEAN ,1
SYRIA,1
SWEDEN,1
SOUTH CHINA SEA,1
CYPRUS,1
St Helena,1
INDIAN OCEAN?,1
Between PORTUGAL & INDIA,1
ITALY / CROATIA,1
ANDAMAN / NICOBAR ISLANDAS,1
DIEGO GARCIA,1
Seychelles,1
KOREA,1
SAN DOMINGO,1
BRITISH VIRGIN ISLANDS,1
MEDITERRANEAN SEA?,1
ST. MARTIN,1
ST. MAARTIN,1
Coast of AFRICA,1
GREENLAND,1
BRITISH ISLES,1
GUYANA,1
NETHERLANDS ANTILLES,1
NORTHERN ARABIAN SEA,1
EGYPT / ISRAEL,1
BRITISH WEST INDIES,1
Sierra Leone,1
MARTINIQUE,1
